"indicador";"País";"Meses";"Años";"valor";"notas";"fuente";""
"Tipo de cambio real efectivo (TCRE)";"Trinidad y Tabago";"Promedio anual";"1992";"98.15";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Uruguay";"Promedio anual";"1992";"108.2";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Venezuela (República Bolivariana de)";"Promedio anual";"1992";"129.79";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Barbados";"Promedio anual";"1993";"92.51";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Bolivia (Estado Plurinacional de)";"Promedio anual";"1993";"84.72";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Brasil";"Promedio anual";"1993";"85.7";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Chile";"Promedio anual";"1993";"105.47";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Colombia";"Promedio anual";"1993";"118.71";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Costa Rica";"Promedio anual";"1993";"95.6";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Ecuador";"Promedio anual";"1993";"107.54";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"El Salvador";"Promedio anual";"1993";"124.38";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Guatemala";"Promedio anual";"1993";"135.67";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Honduras";"Promedio anual";"1993";"126.13";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Jamaica";"Promedio anual";"1993";"138.6";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"México";"Promedio anual";"1993";"94.82";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Nicaragua";"Promedio anual";"1993";"68.19";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Paraguay";"Promedio anual";"1993";"80.44";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Perú";"Promedio anual";"1993";"101.16";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Trinidad y Tabago";"Promedio anual";"1993";"112.93";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Uruguay";"Promedio anual";"1993";"95.15";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Venezuela (República Bolivariana de)";"Promedio anual";"1993";"128.13";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Barbados";"Promedio anual";"1994";"94.29";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Bolivia (Estado Plurinacional de)";"Promedio anual";"1994";"90.79";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Brasil";"Promedio anual";"1994";"83.23";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Chile";"Promedio anual";"1994";"104.03";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Colombia";"Promedio anual";"1994";"97.89";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Costa Rica";"Promedio anual";"1994";"95.92";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Ecuador";"Promedio anual";"1994";"101.92";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"El Salvador";"Promedio anual";"1994";"116.97";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Guatemala";"Promedio anual";"1994";"127.87";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Honduras";"Promedio anual";"1994";"139.71";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Jamaica";"Promedio anual";"1994";"139.85";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"México";"Promedio anual";"1994";"98.91";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Nicaragua";"Promedio anual";"1994";"79.08";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Paraguay";"Promedio anual";"1994";"77.76";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Perú";"Promedio anual";"1994";"93.68";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Trinidad y Tabago";"Promedio anual";"1994";"114.35";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Uruguay";"Promedio anual";"1994";"90.11";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Venezuela (República Bolivariana de)";"Promedio anual";"1994";"128.31";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Barbados";"Promedio anual";"1995";"99.58";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Bolivia (Estado Plurinacional de)";"Promedio anual";"1995";"90.54";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Brasil";"Promedio anual";"1995";"75.37";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Chile";"Promedio anual";"1995";"96.28";"";"[766]"
"Tipo de cambio real efectivo (TCRE)";"Colombia";"Promedio anual";"1995";"93.83";"";"[766]"
