"indicador";"País";"Flujos";"Servicios";"Socios";"Años";"valor";"notas";"fuente";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Total";"Mundo";"1989";"92.58";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Total";"Mundo";"1990";"105.11";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Total";"Mundo";"1991";"111.1";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Total";"Mundo";"1992";"124.68";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Total";"Mundo";"1993";"128.07";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Total";"Mundo";"1994";"134.42";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Total";"Mundo";"1995";"147.89";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Total";"Mundo";"1996";"157.42";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Total";"Mundo";"1997";"164.43";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Total";"Mundo";"1998";"169.08";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Total";"Mundo";"1999";"176.62";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Total";"Mundo";"2000";"156.07";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Total";"Mundo";"2001";"169.08";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Total";"Mundo";"2002";"171.44";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Total";"Mundo";"2003";"182.46";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Total";"Mundo";"2004";"189.98";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Total";"Mundo";"2005";"226.62";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Total";"Mundo";"2006";"258.71";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Total";"Mundo";"2007";"283.712";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Total";"Mundo";"2008";"271.454";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Total";"Mundo";"2009";"228";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"1980";"10.34";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"1981";"11.29";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"1982";"11.42";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"1983";"8.98";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"1984";"13.53";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"1985";"15.75";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"1986";"33.68";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"1987";"36.37";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"1988";"34.74";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"1989";"41.37";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"1990";"44.47";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"1991";"47.71";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"1992";"51.3";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"1993";"50.41";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"1994";"55.53";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"1995";"56.24";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"1996";"56.24";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"1997";"58.2";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"1998";"60.44";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"1999";"62.15";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"2000";"56.52";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"2001";"57.37";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"2002";"56.43";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"2003";"61.39";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"2004";"66.09";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"2005";"78.02";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"2006";"87.8529";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"2007";"102.326";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"2008";"102.397";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Transportes";"Mundo";"2009";"72";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Viajes";"Mundo";"1980";"3.1";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Viajes";"Mundo";"1981";"4.4";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Viajes";"Mundo";"1982";"5.8";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Viajes";"Mundo";"1983";"6.2";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Viajes";"Mundo";"1984";"13.3";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Viajes";"Mundo";"1985";"13.4";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Viajes";"Mundo";"1986";"14.1";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Viajes";"Mundo";"1987";"14.8";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Viajes";"Mundo";"1988";"15.5";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Viajes";"Mundo";"1989";"16.3";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Viajes";"Mundo";"1990";"18";"";""
"Comercio de Servicios";"Antigua y Barbuda";"Importaciones";"Viajes";"Mundo";"1991";"20.37";"";""
