"indicador";"País";"Exportaciones e importaciones mensuales";"Trimestres y meses";"Años";"valor";"notas";"fuente";""
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Marzo";"1999";"1997.62096";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"I";"1999";"5065.13107";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Abril";"1999";"2034.35549";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Mayo";"1999";"2219.88181";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Junio";"1999";"2129.49123";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"II";"1999";"6383.72852";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Julio";"1999";"1940.96632";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Agosto";"1999";"2098.95941";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Septiembre";"1999";"1897.67076";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"III";"1999";"5937.59649";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Octubre";"1999";"1900.92245";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Noviembre";"1999";"1965.44852";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Diciembre";"1999";"2055.80768";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"IV";"1999";"5922.17866";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Enero";"2000";"1768.24454";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Febrero";"2000";"1783.32269";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Marzo";"2000";"2160.64731";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"I";"2000";"5712.21454";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Abril";"2000";"2324.36843";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Mayo";"2000";"2600.34492";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Junio";"2000";"2390.70722";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"II";"2000";"7315.42058";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Julio";"2000";"2364.10602";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Agosto";"2000";"2216.32487";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Septiembre";"2000";"2158.03235";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"III";"2000";"6738.46324";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Octubre";"2000";"2071.54173";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Noviembre";"2000";"2146.94043";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Diciembre";"2000";"2356.44847";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"IV";"2000";"6574.93063";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Enero";"2001";"2038.6504";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Febrero";"2001";"1839.87036";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Marzo";"2001";"2017.68973";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"I";"2001";"5896.21048";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Abril";"2001";"2389.19591";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Mayo";"2001";"2565.54227";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Junio";"2001";"2544.15046";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"II";"2001";"7498.88864";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Julio";"2001";"2350.78375";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Agosto";"2001";"2518.10342";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Septiembre";"2001";"2198.51515";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"III";"2001";"7067.40232";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Octubre";"2001";"2077.50076";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Noviembre";"2001";"2106.31863";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Diciembre";"2001";"1963.73483";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"IV";"2001";"6147.55422";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Enero";"2002";"1823";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Febrero";"2002";"1801";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Marzo";"2002";"2060";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"I";"2002";"5684";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Abril";"2002";"2146";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Mayo";"2002";"2343";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Junio";"2002";"2213";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"II";"2002";"6702";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Julio";"2002";"2211";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Agosto";"2002";"2151";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Septiembre";"2002";"2250";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"III";"2002";"6612";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Octubre";"2002";"2229";"";"[599]"
"Exportaciones e importaciones mensuales";"Argentina";"Exportaciones totales";"Noviembre";"2002";"2160";"";"[599]"
