"indicador";"País";"Años";"Componente";"Rubro";"valor";"notas";"fuente";""
"Valor de las exportaciones totales de bienes y servicios";"Bahamas";"2015";"n/a";"n/a";"3263.5987";"";"[1305]"
"Valor de las exportaciones totales de bienes y servicios";"Barbados";"1980";"n/a";"n/a";"574.1";"";"[1305]"
"Valor de las exportaciones totales de bienes y servicios";"Barbados";"1981";"n/a";"n/a";"547.15";"";"[1305]"
"Valor de las exportaciones totales de bienes y servicios";"Barbados";"1982";"n/a";"n/a";"619.5";"";"[1305]"
"Valor de las exportaciones totales de bienes y servicios";"Barbados";"1983";"n/a";"n/a";"681.85";"";"[1305]"
"Valor de las exportaciones totales de bienes y servicios";"Barbados";"1984";"n/a";"n/a";"797.75";"";"[1305]"
"Valor de las exportaciones totales de bienes y servicios";"Barbados";"1985";"n/a";"n/a";"795.55";"";"[1305]"
"Valor de las exportaciones totales de bienes y servicios";"Barbados";"1986";"n/a";"n/a";"751.95";"";"[1305]"
"Valor de las exportaciones totales de bienes y servicios";"Barbados";"1987";"n/a";"n/a";"686.2";"";"[1305]"
"Valor de las exportaciones totales de bienes y servicios";"Barbados";"1988";"n/a";"n/a";"778.35";"";"[1305]"
"Valor de las exportaciones totales de bienes y servicios";"Barbados";"1989";"n/a";"n/a";"888.75";"";"[1305]"
"Valor de las exportaciones totales de bienes y servicios";"Barbados";"1990";"n/a";"n/a";"872.85";"";"[1305]"
"Valor de las exportaciones totales de bienes y servicios";"Barbados";"1991";"n/a";"n/a";"824.1";"";"[1305]"
"Valor de las exportaciones totales de bienes y servicios";"Barbados";"1992";"n/a";"n/a";"810.763";"";"[1305]"
"Valor de las exportaciones totales de bienes y servicios";"Barbados";"1993";"n/a";"n/a";"877.378";"";"[1305]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"1987";"n/a";"n/a";"28170.47";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"1988";"n/a";"n/a";"36044.7563";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"1989";"n/a";"n/a";"37506.7597";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"1990";"n/a";"n/a";"35165.934";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"1991";"n/a";"n/a";"34916.6194";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"1992";"n/a";"n/a";"39873.0448";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"1993";"n/a";"n/a";"42509.133";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"1994";"n/a";"n/a";"47936.9952";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"1995";"n/a";"n/a";"51435.062";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"1996";"n/a";"n/a";"52784.6118";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"1997";"n/a";"n/a";"59870.1619";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"1998";"n/a";"n/a";"59037.1487";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"1999";"n/a";"n/a";"55205.6909";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"2000";"n/a";"n/a";"64583.82";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"2001";"n/a";"n/a";"67544.5748";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"2002";"n/a";"n/a";"69913.1335";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"2003";"n/a";"n/a";"83531.1302";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"2004";"n/a";"n/a";"109058.7709";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"2005";"n/a";"n/a";"134355.8592";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"2006";"n/a";"n/a";"157283.2064";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"2007";"n/a";"n/a";"184603.2733";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"2008";"n/a";"n/a";"228392.9694";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"2009";"n/a";"n/a";"180723.0901";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"2010";"n/a";"n/a";"231995.6377";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"2011";"n/a";"n/a";"292487.9609";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"2012";"n/a";"n/a";"281099.5143";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Brasil";"2013";"n/a";"n/a";"279587.8136";"";"[686]"
"Valor de las exportaciones totales de bienes y servicios";"Comunidad Andina (CAN)";"2000";"n/a";"n/a";"26634.8329";"";"[698]"
"Valor de las exportaciones totales de bienes y servicios";"Comunidad Andina (CAN)";"2001";"n/a";"n/a";"25908.5133";"";"[698]"
"Valor de las exportaciones totales de bienes y servicios";"Comunidad Andina (CAN)";"2002";"n/a";"n/a";"25854.8447";"";"[698]"
"Valor de las exportaciones totales de bienes y servicios";"Comunidad Andina (CAN)";"2003";"n/a";"n/a";"29382.7385";"";"[698]"
"Valor de las exportaciones totales de bienes y servicios";"Comunidad Andina (CAN)";"2004";"n/a";"n/a";"38026.685";"";"[698]"
"Valor de las exportaciones totales de bienes y servicios";"Comunidad Andina (CAN)";"2005";"n/a";"n/a";"48652.6881";"";"[698]"
"Valor de las exportaciones totales de bienes y servicios";"Comunidad Andina (CAN)";"2006";"n/a";"n/a";"60794.5785";"";"[698]"
"Valor de las exportaciones totales de bienes y servicios";"Comunidad Andina (CAN)";"2007";"n/a";"n/a";"71887.0159";"";"[698]"
"Valor de las exportaciones totales de bienes y servicios";"Comunidad Andina (CAN)";"2008";"n/a";"n/a";"86048.2888";"";"[698]"
"Valor de las exportaciones totales de bienes y servicios";"Comunidad Andina (CAN)";"2009";"n/a";"n/a";"76100.5773";"";"[698]"
"Valor de las exportaciones totales de bienes y servicios";"Comunidad Andina (CAN)";"2010";"n/a";"n/a";"112150.719";"";"[698]"
"Valor de las exportaciones totales de bienes y servicios";"Comunidad Andina (CAN)";"2011";"n/a";"n/a";"148445.6043";"";"[698]"
"Valor de las exportaciones totales de bienes y servicios";"Comunidad Andina (CAN)";"2012";"n/a";"n/a";"158992.9121";"";"[698]"
"Valor de las exportaciones totales de bienes y servicios";"Comunidad Andina (CAN)";"2013";"n/a";"n/a";"156214.9516";"";"[698]"
"Valor de las exportaciones totales de bienes y servicios";"Comunidad Andina (CAN)";"2014";"n/a";"n/a";"152264.3148";"";"[698]"
"Valor de las exportaciones totales de bienes y servicios";"Comunidad Andina (CAN)";"2015";"n/a";"n/a";"117074.762";"";"[698]"
